timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400444908;4088;1683400444908;4095
1683400444908;4095;1683400444908;4095
1683400444909;4094;1683400444909;4088
1683400444909;4089;1683400444909;4093
1683400444909;4094;1683400444909;4095
1683400444910;4089;1683400444910;4094
1683400444910;4095;1683400444910;4094
1683400444911;4091;1683400444911;4093
1683400444911;4094;1683400444911;4091
1683400444912;4095;1683400444912;4090
1683400444912;4092;1683400444912;4085
1683400444913;4086;1683400444913;4090
1683400444913;4090;1683400444913;4095
1683400444914;4091;1683400444914;4089
1683400444914;4095;1683400444914;4086
1683400444915;4076;1683400444915;4092
1683400444915;4095;1683400444915;4090
1683400444916;4095;1683400444916;4090
1683400444917;4093;1683400444917;4090
1683400444918;4088;1683400444918;4095
1683400444918;4095;1683400444918;4089
1683400444919;4090;1683400444919;4089
1683400444919;4095;1683400444919;4091
1683400444920;4093;1683400444920;4082
1683400444920;4089;1683400444920;4092
1683400444921;4092;1683400444921;4095
1683400444921;4095;1683400444921;4089
1683400444922;4094;1683400444922;4092
1683400444922;4095;1683400444922;4090
1683400444922;4095;1683400444922;4091
1683400444923;4091;1683400444923;4090
1683400444923;4095;1683400444923;4093
1683400444924;4084;1683400444924;4095
1683400444924;4093;1683400444924;4092
1683400444925;4094;1683400444925;4093
1683400444925;4087;1683400444925;4095
1683400444926;4092;1683400444926;4092
1683400444926;4090;1683400444926;4093
1683400444927;4091;1683400444927;4094
1683400444927;4095;1683400444927;4092
1683400444928;4095;1683400444928;4095
1683400444928;4092;1683400444928;4090
1683400444929;4095;1683400444929;4095
1683400444929;4093;1683400444929;4094
1683400444929;4092;1683400444929;4090
1683400444930;4087;1683400444930;4095
1683400444930;4095;1683400444930;4091
1683400444931;4090;1683400444931;4093
1683400444931;4095;1683400444931;4095
1683400444932;4090;1683400444932;4088
1683400444932;4091;1683400444932;4093
1683400444933;4095;1683400444933;4089
1683400444933;4094;1683400444933;4091
1683400444934;4089;1683400444934;4088
1683400444934;4095;1683400444934;4090
1683400444935;4086;1683400444935;4095
1683400444935;4087;1683400444935;4095
1683400444936;4088;1683400444936;4093
1683400444936;4089;1683400444936;4087
1683400444937;4094;1683400444937;4095
1683400444937;4095;1683400444937;4090
1683400444938;4089;1683400444938;4088
1683400444938;4087;1683400444938;4087
1683400444939;4094;1683400444939;4095
1683400444940;4081;1683400444940;4095
1683400444941;4094;1683400444941;4087
1683400444941;4094;1683400444941;4094
1683400444942;4093;1683400444942;4091
1683400444942;4094;1683400444942;4083
1683400444943;4095;1683400444943;4091
1683400444943;4095;1683400444943;4087
1683400444944;4092;1683400444944;4089
1683400444944;4080;1683400444944;4094
1683400444944;4093;1683400444944;4087
1683400444945;4091;1683400444945;4094
1683400444945;4088;1683400444945;4095
1683400444946;4095;1683400444946;4092
1683400444946;4095;1683400444946;4093
1683400444947;4094;1683400444947;4094
1683400444947;4087;1683400444947;4091
1683400444948;4095;1683400444948;4095
1683400444948;4091;1683400444948;4090
1683400444949;4087;1683400444949;4091
1683400444949;4091;1683400444949;4087
1683400444950;4095;1683400444950;4091
1683400444950;4091;1683400444950;4089
1683400444951;4095;1683400444951;4089
1683400444951;4089;1683400444951;4090
1683400444952;4088;1683400444952;4087
1683400444952;4093;1683400444952;4091
1683400444953;4081;1683400444953;4093
1683400444953;4095;1683400444953;4088
1683400444954;4087;1683400444954;4095
1683400444954;4095;1683400444954;4091
1683400444955;4095;1683400444955;4094
1683400444955;4095;1683400444955;4090
1683400444956;4094;1683400444956;4088
1683400444956;4090;1683400444956;4093
1683400444957;4085;1683400444957;4091
1683400444957;4095;1683400444957;4090
1683400444958;4095;1683400444958;4087
1683400444958;4085;1683400444958;4090
1683400444958;4092;1683400444958;4091
1683400444959;4095;1683400444959;4089
1683400444959;4087;1683400444959;4093
1683400444960;4090;1683400444960;4092
1683400444960;4094;1683400444960;4086
1683400444961;4091;1683400444961;4095
1683400444961;4094;1683400444961;4091
1683400444962;4095;1683400444962;4089
1683400444963;4090;1683400444963;4091
1683400444964;4095;1683400444964;4091
1683400444964;4093;1683400444964;4085
1683400444965;4092;1683400444965;4091
1683400444965;4091;1683400444965;4092
1683400444966;4095;1683400444966;4093
1683400444966;4095;1683400444966;4093
1683400444967;4089;1683400444967;4095
1683400444967;4087;1683400444967;4094
1683400444968;4094;1683400444968;4089
1683400444968;4095;1683400444968;4092
1683400444968;4091;1683400444968;4091
1683400444969;4085;1683400444969;4092
1683400444969;4091;1683400444969;4095
1683400444970;4090;1683400444970;4091
1683400444970;4089;1683400444970;4092
1683400444971;4094;1683400444971;4093
1683400444971;4095;1683400444971;4091
1683400444972;4095;1683400444972;4092
1683400444972;4093;1683400444972;4092
1683400444973;4095;1683400444973;4095
1683400444973;4091;1683400444973;4090
1683400444974;4083;1683400444974;4089
1683400444974;4093;1683400444974;4095
1683400444975;4095;1683400444975;4093
1683400444975;4089;1683400444975;4093
1683400444975;4095;1683400444975;4089
1683400444976;4095;1683400444976;4090
1683400444976;4095;1683400444976;4092
1683400444977;4094;1683400444977;4095
1683400444977;4091;1683400444977;4093
1683400444978;4090;1683400444978;4093
1683400444978;4091;1683400444978;4087
1683400444979;4082;1683400444979;4090
1683400444979;4088;1683400444979;4092
1683400444980;4095;1683400444980;4095
1683400444980;4093;1683400444980;4095
1683400444981;4089;1683400444981;4091
1683400444981;4091;1683400444981;4095
1683400444982;4087;1683400444982;4089
1683400444982;4092;1683400444982;4095
1683400444983;4095;1683400444983;4090
1683400444983;4089;1683400444983;4093
1683400444984;4095;1683400444984;4089
1683400444984;4095;1683400444984;4093
1683400444985;4088;1683400444985;4095
1683400444985;4095;1683400444985;4094
1683400444985;4093;1683400444985;4089
1683400444986;4083;1683400444986;4092
1683400444988;4091;1683400444988;4089
1683400444988;4089;1683400444988;4095
1683400444988;4095;1683400444988;4090
1683400444989;4090;1683400444989;4092
1683400444989;4092;1683400444989;4095
1683400444990;4083;1683400444990;4094
1683400444990;4095;1683400444990;4095
1683400444991;4088;1683400444991;4095
1683400444991;4091;1683400444991;4095
1683400444991;4090;1683400444991;4094
1683400444992;4092;1683400444992;4095
1683400444992;4089;1683400444992;4091
1683400444993;4091;1683400444993;4091
1683400444993;4095;1683400444993;4094
1683400444994;4095;1683400444994;4093
1683400444994;4095;1683400444994;4092
