time	V(vout)
6.223214285714284e-004	8.442087e-001
6.226190476190474e-004	8.444436e-001
6.249999999999997e-004	8.424354e-001
6.252976190476188e-004	8.426799e-001
6.282738095238094e-004	8.499824e-001
6.285714285714284e-004	8.502156e-001
6.309523809523807e-004	8.481936e-001
6.312499999999998e-004	8.484364e-001
6.342261904761903e-004	8.557219e-001
6.345238095238093e-004	8.559533e-001
6.369047619047616e-004	8.539178e-001
6.372023809523807e-004	8.541588e-001
6.401785714285712e-004	8.614273e-001
6.404761904761902e-004	8.616570e-001
6.428571428571425e-004	8.596079e-001
6.431547619047616e-004	8.598473e-001
6.461309523809522e-004	8.670989e-001
6.464285714285712e-004	8.673269e-001
6.488095238095235e-004	8.652643e-001
6.491071428571426e-004	8.655020e-001
6.520833333333331e-004	8.727368e-001
6.523809523809521e-004	8.729631e-001
6.547619047619044e-004	8.708871e-001
6.550595238095235e-004	8.711231e-001
6.580357142857141e-004	8.783412e-001
6.583333333333331e-004	8.785658e-001
6.607142857142854e-004	8.764765e-001
6.610119047619045e-004	8.767109e-001
6.639880952380950e-004	8.839123e-001
6.642857142857141e-004	8.841354e-001
6.666666666666663e-004	8.820328e-001
6.669642857142854e-004	8.822655e-001
6.699404761904760e-004	8.894504e-001
6.702380952380951e-004	8.896718e-001
6.726190476190473e-004	8.875561e-001
6.728107142857138e-004	8.876259e-001
6.729166666666664e-004	8.877872e-001
6.758928571428569e-004	8.949557e-001
6.761904761904760e-004	8.951754e-001
6.785714285714282e-004	8.930466e-001
6.787630952380947e-004	8.931154e-001
6.788690476190473e-004	8.932760e-001
6.818452380952379e-004	9.004282e-001
6.821428571428570e-004	9.006463e-001
6.845238095238092e-004	8.985045e-001
6.846059523809520e-004	8.984889e-001
6.848214285714283e-004	8.987323e-001
6.877976190476188e-004	9.058684e-001
6.880952380952379e-004	9.060848e-001
6.904761904761901e-004	9.039301e-001
6.905583333333329e-004	9.039140e-001
6.907738095238092e-004	9.041562e-001
6.937499999999998e-004	9.112761e-001
6.940476190476189e-004	9.114910e-001
6.964285714285712e-004	9.093234e-001
6.965107142857139e-004	9.093069e-001
6.967261904761902e-004	9.095480e-001
6.997023809523807e-004	9.166518e-001
6.999999999999998e-004	9.168651e-001
7.023809523809521e-004	9.146847e-001
7.024630952380948e-004	9.146678e-001
7.026785714285711e-004	9.149077e-001
7.056547619047616e-004	9.219956e-001
7.059523809523807e-004	9.222074e-001
7.083333333333330e-004	9.200142e-001
7.084154761904757e-004	9.199969e-001
7.086309523809520e-004	9.202356e-001
7.116071428571426e-004	9.273077e-001
7.119047619047617e-004	9.275178e-001
7.142857142857140e-004	9.253121e-001
7.144773809523805e-004	9.253747e-001
7.145833333333330e-004	9.255319e-001
7.175595238095235e-004	9.325883e-001
7.178571428571426e-004	9.327968e-001
7.202380952380949e-004	9.305785e-001
7.204297619047614e-004	9.306402e-001
7.205357142857139e-004	9.307968e-001
7.235119047619045e-004	9.378375e-001
7.238095238095236e-004	9.380445e-001
7.261904761904759e-004	9.358137e-001
7.263821428571424e-004	9.358743e-001
7.264880952380949e-004	9.360304e-001
7.294642857142854e-004	9.430556e-001
7.297619047619045e-004	9.432610e-001
7.321428571428568e-004	9.410178e-001
7.324404761904758e-004	9.412330e-001
7.354166666666665e-004	9.482427e-001
7.357142857142855e-004	9.484466e-001
7.380952380952378e-004	9.461911e-001
7.383928571428568e-004	9.464047e-001
7.413690476190474e-004	9.533990e-001
7.416666666666664e-004	9.536014e-001
7.440476190476187e-004	9.513336e-001
7.443452380952377e-004	9.515457e-001
7.473214285714284e-004	9.585247e-001
7.476190476190474e-004	9.587256e-001
7.499999999999997e-004	9.564456e-001
7.502976190476188e-004	9.566562e-001
7.532738095238093e-004	9.636200e-001
7.535714285714283e-004	9.638193e-001
7.559523809523806e-004	9.615273e-001
7.562499999999997e-004	9.617363e-001
7.592261904761903e-004	9.686851e-001
7.595238095238093e-004	9.688829e-001
7.619047619047616e-004	9.665788e-001
7.622023809523807e-004	9.667863e-001
7.651785714285712e-004	9.737201e-001
7.654761904761902e-004	9.739164e-001
7.678571428571425e-004	9.716003e-001
7.681547619047616e-004	9.718063e-001
